Year,Respondent_ID,Agency_Code,Loan_Type,Property_Type,Loan_Purpose,Occupancy,Amount,Action_Type,State_Code,County_Code,Income,Purchaser_Type ,Denial_Reason_1,Property_Location,USPS_Code,GDP,Real_State_Growth_%,Rate,PMT,IncRat,Unemployemnt,AmorTer
2017,2182786,9,1,1,3,2,800,4,21,111,176,0,,,KY,203.20,1.60,0.04,3814.62,0.021673995,0.049,360
2017,2182786,9,1,1,3,1,1219,4,6,75,472,0,,,CA,2711.80,2.60,0.04,5812.53,0.012314686,0.048,360
2017,2182786,9,1,1,1,1,940,4,51,107,579,0,,,VA,509.60,1.20,0.04,4482.18,0.007741247,0.038,360
2017,2182786,9,1,1,1,1,1100,4,36,47,77,0,,,NY,1536.60,1.30,0.04,5245.11,0.068118269,0.047,360
2017,2182786,9,1,1,1,1,1100,1,53,33,231,0,,,WA,491.70,3.10,0.04,5245.11,0.02270609,0.048,360
2017,2182786,9,1,1,1,2,4875,1,26,29,1851,0,,,MI,504.90,2.00,0.04,23245.36,0.012558271,0.046,360
2017,2182786,9,1,1,1,2,2411,1,45,77,2286,0,,,SC,217.80,2.10,0.04,11496.32,0.005029011,0.043,360
2017,2182786,9,1,1,1,1,1144,4,9,1,315,0,,,CT,271.70,1.50,0.04,5454.91,0.017317178,0.047,360
2017,2182786,9,1,1,1,2,875,1,12,99,167,0,,,FL,968.00,2.70,0.04,4172.24,0.024983497,0.042,360
2017,2182786,9,1,1,3,2,1537,3,12,21,713,0,1,,FL,968.00,2.70,0.04,7328.84,0.010278884,0.042,360
2017,2182786,9,1,1,3,1,899,4,6,73,228,0,,,CA,2711.80,2.60,0.04,4286.68,0.01880124,0.048,360
2017,2182786,9,1,1,3,1,6450,1,6,37,103,0,,,CA,2711.80,2.60,0.04,30755.40,0.298596102,0.048,360
2017,2182786,9,1,1,3,2,20000,4,36,61,8400,0,,,NY,1536.60,1.30,0.04,95365.58,0.011353045,0.047,360
2017,2182786,9,1,1,1,1,1100,1,26,9,360,0,,,MI,504.90,2.00,0.04,5245.11,0.014569741,0.046,360
2017,2182786,9,1,1,3,1,538,1,37,183,42,0,,,NC,537.00,1.90,0.04,2565.33,0.061079381,0.046,360
2017,2182786,9,1,1,1,1,470,1,42,101,14,0,,,PA,746.00,1.50,0.04,2241.09,0.160077932,0.049,360
2017,2182786,9,1,1,3,1,1710,3,36,113,443,0,4,,NY,1536.60,1.30,0.04,8153.76,0.018405772,0.047,360
2017,2182786,9,1,1,3,2,3375,4,6,75,1090,0,,,CA,2711.80,2.60,0.04,16092.94,0.014764166,0.048,360
2017,2182786,9,1,1,3,1,2450,4,25,17,501,0,,,MA,528.00,2.10,0.04,11682.28,0.02331793,0.037,360
2017,2182786,9,1,1,1,2,5000,1,6,41,1010,0,,,CA,2711.80,2.60,0.04,23841.39,0.023605341,0.048,360
2017,2182786,9,1,1,1,2,1200,1,36,61,242,0,,,NY,1536.60,1.30,0.04,5721.93,0.023644358,0.047,360
2017,2182786,9,1,1,3,1,1542,1,40,109,677,0,,,OK,183.00,-0.40,0.04,7352.69,0.010860688,0.043,360
2017,2182786,9,1,1,3,2,1564,1,6,85,263,0,,,CA,2711.80,2.60,0.04,7457.59,0.028355848,0.048,360
2017,2182786,9,1,1,3,1,1150,1,17,31,1924,0,,,IL,815.50,1.40,0.04,5483.52,0.002850063,0.05,360
2017,2182786,9,1,1,3,2,704,1,6,75,187,0,,,CA,2711.80,2.60,0.04,3356.87,0.017951167,0.048,360
2017,2182786,9,1,1,1,2,800,1,6,57,603,0,,,CA,2711.80,2.60,0.04,3814.62,0.006326075,0.048,360
2017,2182786,9,1,1,3,1,1216,1,12,86,138,0,,,FL,968.00,2.70,0.04,5798.23,0.042016138,0.042,360
2017,2182786,9,1,1,1,2,2923,1,49,43,988,0,,,UT,163.30,2.70,0.04,13937.68,0.014106963,0.032,360
2017,2182786,9,1,1,1,1,2424,1,12,86,451,0,,,FL,968.00,2.70,0.04,11558.31,0.025628177,0.042,360
2017,2182786,9,1,1,1,2,925,1,26,21,600,0,,,MI,504.90,2.00,0.04,4410.66,0.007351097,0.046,360
2017,2182786,9,1,1,1,1,1350,1,34,25,211,0,,,NJ,600.20,1.60,0.04,6437.18,0.030507945,0.046,360
2017,2182786,9,1,1,1,1,1856,1,13,121,260,0,,,GA,548.40,2.70,0.04,8849.93,0.034038175,0.047,360
2017,2182786,9,1,1,1,2,1451,4,6,37,984,0,,,CA,2711.80,2.60,0.04,6918.77,0.007031273,0.048,360
2017,2182786,9,1,1,1,1,820,1,29,189,710,0,,,MO,310.50,1.60,0.04,3909.99,0.005507026,0.038,360
2017,2182786,9,1,1,1,1,940,4,17,111,39,0,,,IL,815.50,1.40,0.04,4482.18,0.114927746,0.05,360
2017,2182786,9,1,1,1,1,1100,1,24,31,77,0,,,MD,391.40,1.60,0.04,5245.11,0.068118269,0.041,360
2017,2182786,9,1,1,3,1,2100,4,6,53,546,0,,,CA,2711.80,2.60,0.04,10013.39,0.018339534,0.048,360
2017,2182786,9,1,1,1,1,931,1,36,119,235,0,,,NY,1536.60,1.30,0.04,4439.27,0.0188905,0.047,360
2017,2182786,9,1,1,1,2,1100,1,17,31,153,0,,,IL,815.50,1.40,0.04,5245.11,0.034281743,0.05,360
2017,2182786,9,1,1,3,1,1400,1,53,33,428,0,,,WA,491.70,3.10,0.04,6675.59,0.015597174,0.048,360
2017,2182786,9,1,1,1,2,1875,1,45,19,803,0,,,SC,217.80,2.10,0.04,8940.52,0.011133901,0.043,360
2017,2182786,9,1,1,1,1,3640,1,6,73,281,0,,,CA,2711.80,2.60,0.04,17356.53,0.061767028,0.048,360
2017,2182786,9,1,1,1,1,750,1,12,99,507,0,,,FL,968.00,2.70,0.04,3576.21,0.007053667,0.042,360
2017,2182786,9,1,1,3,1,939,1,48,201,326,0,,,TX,1645.10,1.10,0.04,4477.41,0.013734398,0.043,360
2017,2182786,9,1,1,1,2,1894,1,36,61,325,0,,,NY,1536.60,1.30,0.04,9031.12,0.027788062,0.047,360
2017,2182786,9,1,1,3,2,1242,1,49,43,326,0,,,UT,163.30,2.70,0.04,5922.20,0.018166265,0.032,360
